Manufacturer,Memory,Name,Release_Price
AMD,8192,Radeon RX 580 MSI Armor 8GB,200
AMD,8192,Radeon RX 580 Gigabyte Gaming 8GB,185
AMD,8192,Radeon RX 580 HIS IceQ X2 Turbo 8GB,200
AMD,4096,Radeon RX 580 HIS IceQ X2 OC 4GB,200
AMD,4096,Radeon RX 580 Gigabyte Gaming 4GB,185
AMD,8192,Radeon RX 580 Gigabyte Aorus XTR 8GB,185
AMD,8192,Radeon RX 580 HIS IceQ X2 OC 8GB,200
AMD,4096,Radeon RX 580 Gigabyte Aorus 4GB,185
AMD,8192,Radeon RX 580 Asus ROG Strix Gaming OC 8GB,185
AMD,8192,Radeon RX 580 Asus Dual 8GB,185
AMD,8192,Radeon RX 580 Asus ROG Strix Gaming 8GB,185
AMD,8192,Radeon RX 580 Gigabyte Aorus 8GB,185
AMD,8192,Radeon RX 580 Asus ROG Strix TOP 8GB,185
AMD,4096,Radeon RX 580 4GB,185
AMD,8192,Radeon RX 570 8GB,180
AMD,4096,Radeon RX 570 4GB,169
AMD,4096,Radeon RX 560 Yeston Gaea 4GB,139.99
AMD,4096,Radeon RX 560 XFX Single Fan OC 4GB,139.99
AMD,2048,Radeon RX 560 XFX Double Dissipation OC 2GB,119.99
AMD,2048,Radeon RX 560 XFX Single Fan OC 2GB,119.99
AMD,4096,Radeon RX 560 XFX Double Dissipation OC 4GB,149.99
AMD,2048,Radeon RX 560 VisionTek Overclocked 2GB,119.99
AMD,2048,Radeon RX 560 Sapphire Pulse OC 2GB,119.99
AMD,2048,Radeon RX 560 XFX Slim Single Slot 2GB,119.99
AMD,4096,Radeon RX 560 Sapphire Pulse OC 4GB,129.99
AMD,4096,Radeon RX 560 Sapphire Pulse 4GB,149.99
AMD,4096,Radeon RX 560 PowerColor Red Dragon OC 4GB,129.99
AMD,2048,Radeon RX 560 PowerColor Red Dragon OC 2GB,129.99
AMD,4096,Radeon RX 560 Sapphire Pulse Mining 4GB,129.99
AMD,4096,Radeon RX 560 Kuroutoshikou 4GB,109.99
AMD,2048,Radeon RX 560 PowerColor Red Dragon OC V3 2GB,129.99
AMD,2048,Radeon RX 560 HIS iCooler OC 2GB,109.99
AMD,2048,Radeon RX 560 HIS Green iCooler OC 2GB,109.99
AMD,4096,Radeon RX 560 PowerColor Red Dragon V3 4GB,129.99
AMD,4096,Radeon RX 560 HIS Green iCooler OC 4GB,109.99
AMD,2048,Radeon RX 560 MSI Aero ITX OC 2GB,99.99
AMD,4096,Radeon RX 560 Dataland X-Serial War 4GB,120
AMD,4096,Radeon RX 560 Gigabyte Gaming OC 4GB,109.99
AMD,4096,Radeon RX 560 MSI Aero ITX OC 4GB,129.99
AMD,2048,Radeon RX 560 Gigabyte Gaming OC 2GB,109.99
AMD,4096,Radeon RX 560 Dataland X-Serial God of War 4GB,120
AMD,4096,Radeon RX 560 Asus ROG Strix Gaming 4GB,99
AMD,2048,Radeon RX 560 Dataland X-Serial War 2GB,120
AMD,4096,Radeon RX 560 Asus ROG Strix Gaming OC 4GB,99
AMD,2048,Radeon RX 560 Dataland X-Serial God of War 2GB,120
AMD,4096,Radeon RX 560 Asus Dual Fan OC 4GB,120
AMD,4096,Radeon RX 560 Asus Dual Fan 4GB,120
AMD,4096,Radeon RX 560 4GB,149
AMD,2048,Radeon RX 560 2GB,149
AMD,2048,Radeon RX 560 Asus Dual Fan OC 2GB,120
AMD,2048,Radeon RX 560 Asus Dual Fan 2GB,120
AMD,6144,Radeon HD 7990,999
AMD,6144,Radeon HD 8990 (OEM),999
AMD,2048,Radeon HD 6970 PowerColor 2GB Edition,369
AMD,2048,Radeon HD 6970,369
AMD,2048,Radeon HD 6670 v2,99
AMD,1024,Radeon HD 6670,99
AMD,512,Radeon HD 6450,55
AMD,512,Radeon HD 6350,23
AMD,2048,Radeon HD 5870 2048,399
AMD,1024,Radeon HD 5870 1024,399
AMD,2048,Radeon HD 5850 2048,299
AMD,1024,Radeon HD 5850 1024,299
AMD,3072,Radeon HD 7970 GHz Edition,499
AMD,3072,Radeon HD 7970,549
AMD,3072,Radeon HD 7950 Sapphire FleX 3GB Edition ,380
AMD,3072,Radeon HD 7950 Boost Edition,449
AMD,2048,Radeon HD 7870 XT PowerColor Myst. Edition,269
AMD,3072,Radeon HD 7950,449
AMD,2048,Radeon HD 7870 XT,270
AMD,2048,Radeon HD 7870,349
AMD,2048,Radeon HD 7850,249
AMD,1024,Radeon HD 7790,149
AMD,1024,Radeon HD 7770 1GB GDDR5,159
AMD,1024,Radeon HD 7750 1GB GDDR5,109
AMD,2048,Radeon HD 7730 v2,69
AMD,1024,Radeon HD 7730,59
ATI,8192,Radeon RX 480 XFX Triple X OC 8GB,245
ATI,8192,Radeon RX 480 XFX GTR Hard Swap Black Edition 8GB,260
ATI,4096,Radeon RX 480 XFX RS Hard Swap 4GB,240
ATI,8192,Radeon RX 480 XFX RS Hard Swap Triple X 8GB,250
ATI,8192,Radeon RX 480 XFX Black Edition 8GB,255
ATI,4096,Radeon RX 480 XFX 4GB,240
ATI,8192,Radeon RX 480 Sapphire Nitro+ 8GB,260
ATI,4096,Radeon RX 480 Sapphire NITRO+ 4GB,235
ATI,4096,Radeon RX 480 Sapphire 4GB,240
ATI,8192,Radeon RX 480 PowerColour 8GB,240
ATI,4096,Radeon RX 480 PowerColor Red Dragon 4GB,210
ATI,8192,Radeon RX 480 PowerColor Red Dragon 8GB,250
ATI,8192,Radeon RX 480 PowerColor Red Devil 8GB,270
ATI,8192,Radeon RX 480 Sapphire 8GB,240
ATI,4096,Radeon RX 480 PowerColor 4GB,230
ATI,4096,Radeon RX 480 MSI GAMING 4G,200
ATI,8192,Radeon RX 480 MSI Gaming 8GB,250
ATI,4096,Radeon RX 480 MSI GAMING X 4G,240
ATI,8192,Radeon RX 480 MSI Gaming X 8GB,265
ATI,8192,Radeon RX 480 MSI Armor OC 8GB,245
ATI,4096,Radeon RX 480 MSI Armor OC 4GB,220
ATI,8192,Radeon RX 480 MSI 8GB,220
ATI,4096,Radeon RX 480 MSI Armor 4GB,220
ATI,4096,Radeon RX 480 MSI 4GB,200
ATI,8192,Radeon RX 480 Gigabyte Windforce 8GB,120
ATI,8192,Radeon RX 480 HIS IceQ X2 Roaring OC 8GB,250
ATI,8192,Radeon RX 480 HIS 8GB,120
ATI,4096,Radeon RX 480 Gigabyte Windforce 4GB,220
ATI,8192,Radeon RX 480 Gigabyte G1 Gaming 8GB,240
ATI,4096,Radeon RX 480 Gigabyte G1 Gaming 4GB,210
ATI,8192,Radeon RX 480 Gigabyte 8GB,240
ATI,4096,Radeon RX 480 GIGABYTE G1 Gaming 4GB,200
ATI,4096,Radeon RX 480 ASUS DUAL OC 4GB,230
ATI,8192,Radeon RX 480 Asus 8GB,120
ATI,8192,Radeon RX 480 Armor 8GB,245
ATI,8192,Radeon RX 480 Asus ROG Strix Gaming 8GB,240
ATI,8192,Radeon RX 480 Asus ROG Strix OC 8GB,240
ATI,16384,Radeon RX 480 8GB Crossfire,458
ATI,8192,Radeon RX 480 8GB,229
ATI,8192,Radeon RX 480 Diamond 8GB,120
ATI,4096,Radeon RX 470 XFX RS Black Limited Edition 4GB,210
ATI,4096,Radeon RX 480 4GB,199
ATI,4096,Radeon RX 470 XFX RS Triple X 4GB,179
ATI,4096,Radeon RX 470 XFX Single Fan Triple X 4GB,179
ATI,4096,Radeon RX 470 XFX RS Black Edition 4GB,200
ATI,4096,Radeon RX 470 Sapphire Platinum Edition 4GB,220
ATI,8192,Radeon RX 470 Sapphire Nitro+ 8GB,250
ATI,4096,Radeon RX 470 Sapphire Nitro+ 4GB,220
